Mobile Name	url	url	wallpapers	ringtones	size
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7101/alcatel/alcatel-pop-c5/	http://www.zedge.net/wallpapers/7101/alcatel-pop-c5-wallpapers/	http://www.zedge.net/ringtones/7101/alcatel-pop-c5-ringtones/	132 x 68 x 12 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7100/alcatel/alcatel-pop-c3/	http://www.zedge.net/wallpapers/7100/alcatel-pop-c3-wallpapers/	http://www.zedge.net/ringtones/7100/alcatel-pop-c3-ringtones/	122 x 64 x 12 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7099/alcatel/alcatel-pop-c1/	http://www.zedge.net/wallpapers/7099/alcatel-pop-c1-wallpapers/	http://www.zedge.net/ringtones/7099/alcatel-pop-c1-ringtones/	113 x 62 x 12 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7098/alcatel/alcatel-idol-s/	http://www.zedge.net/wallpapers/7098/alcatel-idol-s-wallpapers/	http://www.zedge.net/ringtones/7098/alcatel-idol-s-ringtones/	134 x 67 x 7 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7097/alcatel/alcatel-idol-mini/	http://www.zedge.net/wallpapers/7097/alcatel-idol-mini-wallpapers/	http://www.zedge.net/ringtones/7097/alcatel-idol-mini-ringtones/	127 x 62 x 8 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7096/alcatel/alcatel-hero/	http://www.zedge.net/wallpapers/7096/alcatel-hero-wallpapers/	http://www.zedge.net/ringtones/7096/alcatel-hero-ringtones/	159 x 81 x 9 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7095/alcatel/alcatel-one-touch-fierce/	http://www.zedge.net/wallpapers/7095/alcatel-one-touch-fierce-wallpapers/	http://www.zedge.net/ringtones/7095/alcatel-one-touch-fierce-ringtones/	130 x 67 x 9 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7094/alcatel/alcatel-2040/	http://www.zedge.net/wallpapers/7094/alcatel-2040-wallpapers/	http://www.zedge.net/ringtones/7094/alcatel-2040-ringtones/	123 x 52 x 12 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7093/alcatel/alcatel-2005/	http://www.zedge.net/wallpapers/7093/alcatel-2005-wallpapers/	http://www.zedge.net/ringtones/7093/alcatel-2005-ringtones/	120 x 50 x 10 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7092/alcatel/alcatel-20.01/	http://www.zedge.net/wallpapers/7092/alcatel-20.01-wallpapers/	http://www.zedge.net/ringtones/7092/alcatel-20.01-ringtones/	112 x 62 x 13 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-7091/alcatel/alcatel-20.00/	http://www.zedge.net/wallpapers/7091/alcatel-20.00-wallpapers/	http://www.zedge.net/ringtones/7091/alcatel-20.00-ringtones/	112 x 62 x 13 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6766/alcatel/alcatel-one-touch-scribe-hd-lte/	http://www.zedge.net/wallpapers/6766/alcatel-one-touch-scribe-hd-lte-wallpapers/	http://www.zedge.net/ringtones/6766/alcatel-one-touch-scribe-hd-lte-ringtones/	144 x 75 x 9 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6765/alcatel/alcatel-one-touch-scribe-hd/	http://www.zedge.net/wallpapers/6765/alcatel-one-touch-scribe-hd-wallpapers/	http://www.zedge.net/ringtones/6765/alcatel-one-touch-scribe-hd-ringtones/	144 x 75 x 9 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6764/alcatel/alcatel-one-touch-evolve/	http://www.zedge.net/wallpapers/6764/alcatel-one-touch-evolve-wallpapers/	http://www.zedge.net/ringtones/6764/alcatel-one-touch-evolve-ringtones/	122 x 64 x 12 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6698/alcatel/alcatel-one-touch-snap-lte/	http://www.zedge.net/wallpapers/6698/alcatel-one-touch-snap-lte-wallpapers/	http://www.zedge.net/ringtones/6698/alcatel-one-touch-snap-lte-ringtones/	134 x 70 x 11 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6697/alcatel/alcatel-one-touch-pixi/	http://www.zedge.net/wallpapers/6697/alcatel-one-touch-pixi-wallpapers/	http://www.zedge.net/ringtones/6697/alcatel-one-touch-pixi-ringtones/	115 x 62 x 12 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6696/alcatel/alcatel-one-touch-idol-x/	http://www.zedge.net/wallpapers/6696/alcatel-one-touch-idol-x-wallpapers/	http://www.zedge.net/ringtones/6696/alcatel-one-touch-idol-x-ringtones/	140 x 68 x 7 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6576/alcatel/alcatel-one-touch-tab-7-hd/	http://www.zedge.net/wallpapers/6576/alcatel-one-touch-tab-7-hd-wallpapers/	http://www.zedge.net/ringtones/6576/alcatel-one-touch-tab-7-hd-ringtones/	191 x 125 x 9 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6575/alcatel/alcatel-one-touch-tab-7/	http://www.zedge.net/wallpapers/6575/alcatel-one-touch-tab-7-wallpapers/	http://www.zedge.net/ringtones/6575/alcatel-one-touch-tab-7-ringtones/	193 x 121 x 10 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6574/alcatel/alcatel-one-touch-scribe-easy/	http://www.zedge.net/wallpapers/6574/alcatel-one-touch-scribe-easy-wallpapers/	http://www.zedge.net/ringtones/6574/alcatel-one-touch-scribe-easy-ringtones/	143 x 78 x 10 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6572/alcatel/alcatel-one-touch-fire/	http://www.zedge.net/wallpapers/6572/alcatel-one-touch-fire-wallpapers/	http://www.zedge.net/ringtones/6572/alcatel-one-touch-fire-ringtones/	115 x 62 x 12 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6571/alcatel/alcatel-one-touch-idol/	http://www.zedge.net/wallpapers/6571/alcatel-one-touch-idol-wallpapers/	http://www.zedge.net/ringtones/6571/alcatel-one-touch-idol-ringtones/	133 x 68 x 8 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6494/alcatel/alcatel-one-touch-t10/	http://www.zedge.net/wallpapers/6494/alcatel-one-touch-t10-wallpapers/	http://www.zedge.net/ringtones/6494/alcatel-one-touch-t10-ringtones/	192 x 118 x 11 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6493/alcatel/alcatel-one-touch-idol-ultra/	http://www.zedge.net/wallpapers/6493/alcatel-one-touch-idol-ultra-wallpapers/	http://www.zedge.net/ringtones/6493/alcatel-one-touch-idol-ultra-ringtones/	134 x 69 x 7 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6487/alcatel/alcatel-one-touch-scribe-x/	http://www.zedge.net/wallpapers/6487/alcatel-one-touch-scribe-x-wallpapers/	http://www.zedge.net/ringtones/6487/alcatel-one-touch-scribe-x-ringtones/	144 x 75 x 9 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6485/alcatel/alcatel-one-touch-star/	http://www.zedge.net/wallpapers/6485/alcatel-one-touch-star-wallpapers/	http://www.zedge.net/ringtones/6485/alcatel-one-touch-star-ringtones/	118 x 61 x 10 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6335/alcatel/alcatel-one-touch-evo-7-hd/	http://www.zedge.net/wallpapers/6335/alcatel-one-touch-evo-7-hd-wallpapers/	http://www.zedge.net/ringtones/6335/alcatel-one-touch-evo-7-hd-ringtones/	197 x 120 x 10 mm
Alcatel	http://www.zedge.net/phone-index/15/alcatel/	http://www.zedge.net/phone-index/15-6334/alcatel/alcatel-one-touch-evo-7/	http://www.zedge.net/wallpapers/6334/alcatel-one-touch-evo-7-wallpapers/	http://www.zedge.net/ringtones/6334/alcatel-one-touch-evo-7-ringtones/	191 x 127 x 11 mm
